Fr,Nm,NN,ACTUAL
0.27022674679756165,0.7297732830047607,1,1
0.2693102955818176,0.7306897044181824,1,1
0.2693633437156677,0.7306366562843323,1,1
0.2693520784378052,0.7306479215621948,1,1
0.26932087540626526,0.7306791543960571,1,1
0.26927921175956726,0.7307208180427551,1,1
0.2700149416923523,0.7299850583076477,1,1
0.2696956396102905,0.7303044199943542,1,1
0.2693706452846527,0.7306293249130249,1,1
0.2698836624622345,0.7301163077354431,1,1
0.26947054266929626,0.7305294275283813,1,1
0.269366592168808,0.7306333780288696,1,1
0.2694813907146454,0.7305185794830322,1,1
0.2693365514278412,0.7306634187698364,1,1
0.2694084346294403,0.7305915951728821,1,1
0.26938068866729736,0.7306192517280579,1,1
0.2692854702472687,0.7307145595550537,1,1
0.2693731486797333,0.7306268811225891,1,1
0.26938396692276,0.7306160926818848,1,1
0.2692907154560089,0.7307092547416687,1,1
0.269468754529953,0.7305312156677246,1,1
0.2693289816379547,0.7306709885597229,1,1
0.7167233824729919,0.28327664732933044,0,0
0.2692943811416626,0.7307056188583374,1,1
0.2693537473678589,0.7306462526321411,1,1
0.26928097009658813,0.7307190299034119,1,1
0.2718365788459778,0.7281633615493774,1,1
0.2692919075489044,0.730708122253418,1,1
0.2693934142589569,0.7306065559387207,1,1
0.2700026333332062,0.7299973368644714,1,1
0.2692960798740387,0.7307038903236389,1,1
0.2695421278476715,0.7304579019546509,1,1
0.26934072375297546,0.7306593060493469,1,1
0.2693066895008087,0.7306933403015137,1,1
0.2693250775337219,0.7306748628616333,1,1
0.26941221952438354,0.7305878400802612,1,1
0.26938268542289734,0.730617344379425,1,1
0.2693132162094116,0.7306867837905884,1,1
0.26937201619148254,0.7306280732154846,1,1
0.26928240060806274,0.730717658996582,1,1
0.26928582787513733,0.7307141423225403,1,1
0.2693738043308258,0.7306262254714966,1,1
0.269850492477417,0.730149507522583,1,1
0.2693854868412018,0.7306145429611206,1,1
0.26927441358566284,0.7307255268096924,1,1
0.2699214220046997,0.7300785779953003,1,1
0.26937952637672424,0.7306204438209534,1,1
0.26953139901161194,0.7304686307907104,1,1
0.26959410309791565,0.730405867099762,1,1
0.2693292498588562,0.7306707501411438,1,1
0.2693665027618408,0.7306334376335144,1,1
0.2693180441856384,0.7306820154190063,1,1
0.2693731486797333,0.7306268215179443,1,1
0.269282728433609,0.7307173013687134,1,1
0.26927921175956726,0.7307207584381104,1,1
0.2692979574203491,0.7307019829750061,1,1
0.2692999839782715,0.7307000160217285,1,1
0.2696296274662018,0.7303703427314758,1,1
0.2693397104740143,0.7306603193283081,1,1
0.2693086266517639,0.7306913733482361,1,1
0.26953843235969543,0.730461597442627,1,1
0.2695356607437134,0.7304643392562866,1,1
0.2694615423679352,0.7305384278297424,1,1
0.26953718066215515,0.730462908744812,1,1
0.26972588896751404,0.7302741408348083,1,1
0.27256709337234497,0.727432906627655,1,1
0.2693512439727783,0.7306488156318665,1,1
0.2693184018135071,0.7306816577911377,1,1
0.26932960748672485,0.7306704521179199,1,1
0.2693122625350952,0.7306877374649048,1,1
0.26929381489753723,0.7307062149047852,1,1
0.2693813741207123,0.7306186556816101,1,1
0.27021804451942444,0.729781985282898,1,1
0.2694011628627777,0.7305989265441895,1,1
0.2694711685180664,0.7305287718772888,1,1
0.2695200443267822,0.7304799556732178,1,1
0.2693730294704437,0.7306269407272339,1,1
0.2692962884902954,0.7307036519050598,1,1
0.2697473168373108,0.7302526831626892,1,1
